date,member,value
2013-01-01,RM,7
2013-01-01,V,1
2013-01-01,슈가|SUGA,6
2013-01-01,정국,1
2013-01-01,제이홉,4
2013-01-01,지민,1
2013-01-01,진(Jin),1
2014-01-01,RM,19
2014-01-01,V,0
2014-01-01,슈가|SUGA,18
2014-01-01,정국,0
2014-01-01,제이홉,17
2014-01-01,지민,0
2014-01-01,진(Jin),0
2015-01-01,RM,5
2015-01-01,V,1
2015-01-01,슈가|SUGA,6
2015-01-01,정국,1
2015-01-01,제이홉,4
2015-01-01,지민,1
2015-01-01,진(Jin),2
2016-01-01,RM,16
2016-01-01,V,3
2016-01-01,슈가|SUGA,14
2016-01-01,정국,2
2016-01-01,제이홉,13
2016-01-01,지민,1
2016-01-01,진(Jin),1
2017-01-01,RM,13
2017-01-01,V,0
2017-01-01,슈가|SUGA,8
2017-01-01,정국,0
2017-01-01,제이홉,9
2017-01-01,지민,0
2017-01-01,진(Jin),0
2018-01-01,RM,22
2018-01-01,V,0
2018-01-01,슈가|SUGA,15
2018-01-01,정국,1
2018-01-01,제이홉,14
2018-01-01,지민,0
2018-01-01,진(Jin),0
2019-01-01,RM,7
2019-01-01,V,0
2019-01-01,슈가|SUGA,4
2019-01-01,정국,0
2019-01-01,제이홉,6
2019-01-01,지민,0
2019-01-01,진(Jin),0
2020-01-01,RM,12
2020-01-01,V,1
2020-01-01,슈가|SUGA,7
2020-01-01,정국,3
2020-01-01,제이홉,6
2020-01-01,지민,1
2020-01-01,진(Jin),1
